date,chlorophyll,water_temperature,DO,pH,Salinity,pressure,air_temperature,relative_humidity
2019/1/1,5.993428306,24.69575305,8.039317595,8.101215481,31.81775831,1013.959837,23.33432705,70.20982955
2019/1/2,4.895519012,24.77936169,7.412830454,7.954707896,31.98155133,1012.805389,23.07627029,74.82109663
2019/1/3,6.638905987,25.6890456,9.257936698,8.054707439,31.99729932,1012.786442,22.8881184,71.78722179
2019/1/4,8.559939145,24.93578187,9.314579989,8.033471406,31.86870606,1013.0777,23.33285171,80.92525297
2019/1/5,5.214231699,25.94562726,9.917075996,8.107739518,32.43026952,1010.97669,24.19234763,72.55183883
2019/1/6,5.38067688,26.45259635,8.168391076,8.105380015,32.64070753,1014.403888,21.11500172,79.01096032
2019/1/7,9.17099433,26.41529733,10.77352827,8.088060679,32.68694876,1014.063593,24.29693903,82.39165075
2019/1/8,7.70772305,25.97532272,9.686059749,8.157674352,32.83310424,1014.597246,24.37333618,71.01467845
2019/1/9,5.390329101,27.71484994,10.25611636,8.233850616,32.72523407,1013.662192,25.99811765,74.64616998
2019/1/10,7.566446738,27.11207394,9.059964575,8.14150232,32.49437542,1014.156413,24.83844477,79.77601276
2019/1/11,5.701664048,27.88872642,9.713041809,8.191452376,32.9175311,1014.25749,25.56791038,78.80479489
2019/1/12,5.838852276,27.12535826,8.676256127,8.092248707,32.25515224,1015.776987,27.42354265,72.34610403
2019/1/13,7.390221446,26.86668303,8.679548638,8.107683981,32.37490919,1014.422268,26.93265811,68.95298052
2019/1/14,3.20944669,27.46201783,9.751637445,8.175062701,32.32548642,1016.888623,26.85687093,74.69349069
2019/1/15,3.709179989,27.21066288,8.537835574,8.219202427,32.89672152,1015.20232,25.43156057,74.80581304
2019/1/16,6.150342367,26.69276636,8.632827486,8.154292393,32.80355487,1013.423927,26.41393525,64.9253645
2019/1/17,5.357668747,27.95373571,8.91441831,8.11073642,32.60700371,1014.464736,25.54197217,64.65239535
2019/1/18,8.112394148,26.82168429,8.752744436,8.115042051,32.71682185,1013.804366,25.4538069,70.65517935
2019/1/19,5.760243724,26.10658888,8.675231336,8.040536947,32.06264751,1012.097705,25.90687694,72.95704369
2019/1/20,4.835596639,27.56819141,8.940063148,8.121054496,32.36147411,1015.705636,24.72549469,70.29243556
2019/1/21,10.66665731,26.51672211,10.16620644,8.123012,32.15161416,1014.606612,26.62398511,75.55291804
2019/1/22,7.349959085,26.32124692,9.174014601,8.045145165,32.37978741,1014.22274,24.76807558,71.54970466
2019/1/23,7.993498441,25.59459688,9.551778301,8.034356272,32.03434524,1013.635522,25.33828018,67.58569692
2019/1/24,5.056467041,27.20013786,10.21208362,8.062942235,31.90540176,1011.869078,25.96759307,75.98650459
2019/1/25,6.855153962,25.54193942,10.43948303,8.021657925,32.14579781,1012.554706,25.34193524,79.44076038
2019/1/26,8.194030264,26.08184526,10.62409775,8.036399245,32.22125254,1013.679308,22.71159133,79.35332398
2019/1/27,5.688680241,26.38790397,10.42103173,8.143508082,31.74621294,1011.602962,24.39304921,76.76823674
2019/1/28,8.750701543,26.03829002,9.517051782,8.027748664,31.93094806,1009.96163,24.64904024,74.7030769
2019/1/29,6.796793602,25.71378737,10.80277772,8.026595579,31.64890913,1012.132719,24.56751854,80.06019443
2019/1/30,7.403580388,24.83236772,9.222538083,8.01936855,31.24875064,1012.11578,22.47094114,85.44992746
2019/1/31,6.762619546,25.24389954,9.676970359,8.098907673,32.104098,1012.325534,22.87045781,86.25563561
